mapping_id,question_id,confidence,confidence_band,framework_control_key,framework_control_title,preferred_workspace_control_id,status,domain_tags,question_text
2527,2133,0.0,0.00,,,,suggested,,is dns filtering implemented
2528,2134,0.354,0.01-0.38,164.312-e1,Transmission Security,20,suggested,,are ddos protections enabled
2529,2135,0.399,0.39-0.59,PR.PS-04,Log Management,30,suggested,,are api gateways used
2530,2136,0.399,0.39-0.59,GV.RM-01,Risk Management Strategy,26,suggested,,are rate limits enforced
2531,2137,0.0,0.00,,,,suggested,,are waf rules configured
2532,2138,0.399,0.39-0.59,PR.PS-04,Log Management,30,suggested,,are ip allowlists used
2533,2139,0.701,0.60+,CC6.6,Encryption and Data Protection,50,suggested,,"are secrets stored in a secure vault (e.g., hashicorp vault)"
2534,2140,0.605,0.60+,CC6.6,Encryption and Data Protection,50,suggested,,are secrets ever stored in code
2535,2141,0.609,0.60+,CC6.6,Encryption and Data Protection,50,suggested,,are secrets rotated automatically
2536,2142,0.635,0.60+,PR.DS-01,Data-at-Rest Protection,28,suggested,encryption,are encryption keys managed via kms
2537,2143,0.373,0.01-0.38,CC6.6,Encryption and Data Protection,50,suggested,,are customer-managed keys supported
2538,2144,0.418,0.39-0.59,CC6.6,Encryption and Data Protection,50,suggested,,are keys rotated periodically
2539,2145,0.354,0.01-0.38,PR.PS-04,Log Management,30,suggested,,are hsm-backed keys used
2540,2146,0.528,0.39-0.59,CC6.6,Encryption and Data Protection,50,suggested,iam_access,are secrets access-controlled via iam
2541,2147,0.565,0.39-0.59,CC6.6,Encryption and Data Protection,50,suggested,logging;iam_access,are secrets logged when accessed
2542,2148,0.564,0.39-0.59,CC6.6,Encryption and Data Protection,50,suggested,,are expired secrets revoked automatically
2543,2149,0.49,0.39-0.59,PR.DS-01,Data-at-Rest Protection,28,suggested,encryption,is all data encrypted at rest
2544,2150,0.95,0.60+,CC6.7,Transmission and Network Protections,51,suggested,encryption,is all data encrypted in transit
2545,2151,0.474,0.39-0.59,PR.DS-01,Data-at-Rest Protection,28,suggested,,are storage buckets private by default
2546,2152,0.418,0.39-0.59,CC6.1,Logical and Physical Access Controls,2,suggested,,are object storage policies enforced
2547,2153,0.399,0.39-0.59,CC6.7,Transmission and Network Protections,51,suggested,encryption,are databases encrypted
2548,2154,0.399,0.39-0.59,CC6.7,Transmission and Network Protections,51,suggested,encryption,are snapshots encrypted
2549,2155,0.583,0.39-0.59,RC.RP-01,Recovery Planning,34,suggested,dr_backup,are backups immutable
2550,2156,0.499,0.39-0.59,PR.PS-04,Log Management,30,suggested,logging,are data retention policies enforced
2551,2157,0.354,0.01-0.38,CC6.1,Logical and Physical Access Controls,2,suggested,,is data classified automatically
2552,2158,0.373,0.01-0.38,PR.DS-01,Data-at-Rest Protection,28,suggested,,is sensitive data masked/tokenized
2553,2159,0.525,0.39-0.59,CC7.4,"Logging, Retention, and Incident Handling",53,suggested,logging;iam_access,are data access logs monitored
2554,2160,0.354,0.01-0.38,CC6.1,Logical and Physical Access Controls,2,suggested,,are cross-tenant data leaks prevented
2555,2161,0.373,0.01-0.38,CC3.1,Risk Assessment,49,suggested,,are data flows documented
2556,2162,0.354,0.01-0.38,CC6.1,Logical and Physical Access Controls,2,suggested,,is data residency controlled
2557,2163,0.0,0.00,,,,suggested,,are exports restricted
2558,2164,0.0,0.00,,,,suggested,,do you use ci/cd pipelines
2559,2165,0.354,0.01-0.38,CC1.1,Integrity and Ethical Values,1,suggested,,are pipelines secured with rbac
2560,2166,0.0,0.00,,,,suggested,,are builds isolated
2561,2167,0.399,0.39-0.59,164.308-a2,Assigned Security Responsibility,17,suggested,,are artifacts signed
2562,2168,0.0,0.00,,,,suggested,,are dependencies scanned for vulnerabilities
2563,2169,0.564,0.39-0.59,CC6.6,Encryption and Data Protection,50,suggested,,are secrets prevented in commits
2564,2170,0.399,0.39-0.59,164.308-a2,Assigned Security Responsibility,17,suggested,,are commits signed
2565,2171,0.0,0.00,,,,suggested,,are pipelines audited
2566,2172,0.406,0.39-0.59,HITRUST-DEV-LOG-01,Logging and Monitoring (dev theme),39,suggested,logging,are build logs stored securely
2567,2173,0.649,0.60+,CC8.1,Change Management,54,suggested,,are deployment approvals required
2568,2174,0.605,0.60+,CC8.1,Change Management,54,suggested,,are production deployments restricted
2569,2175,0.0,0.00,,,,suggested,,are rollback mechanisms implemented
2570,2176,0.945,0.60+,GV.OC-05,Third-Party Risk,35,suggested,,are supply chain attacks mitigated
2571,2177,0.0,0.00,,,,suggested,,are sboms generated
2572,2178,0.464,0.39-0.59,CC8.1,Change Management,54,suggested,,are pipeline environments ephemeral
2573,2179,0.495,0.39-0.59,CC8.1,Change Management,54,suggested,,are applications tested for owasp top 10
2574,2180,0.399,0.39-0.59,PR.IP-01,Change and Configuration Management,36,suggested,,is input validation enforced
2575,2181,0.0,0.00,,,,suggested,,are outputs sanitized
2576,2182,0.418,0.39-0.59,CC6.1,Logical and Physical Access Controls,2,suggested,iam_access,are authentication tokens secure
2577,2183,0.354,0.01-0.38,PR.DS-01,Data-at-Rest Protection,28,suggested,,are session cookies protected
2578,2184,0.0,0.00,,,,suggested,,are apis authenticated and authorized
2579,2185,0.0,0.00,,,,suggested,,are apis versioned
2580,2186,0.0,0.00,,,,suggested,,are graphql endpoints secured
2581,2187,0.354,0.01-0.38,164.312-e1,Transmission Security,20,suggested,,are ssrf protections implemented
2582,2188,0.354,0.01-0.38,164.312-e1,Transmission Security,20,suggested,,are xss protections enforced
2583,2189,0.354,0.01-0.38,164.312-e1,Transmission Security,20,suggested,,are csrf protections in place
2584,2190,0.0,0.00,,,,suggested,,are deserialization attacks prevented
2585,2191,0.373,0.01-0.38,CC9.2,Vendor Management and Business Continuity,55,suggested,logging,are business logic flaws tested
2586,2192,0.0,0.00,,,,suggested,,are bug bounty programs active
2587,2193,0.7,0.60+,ID.RA-07,Vulnerability Management,33,suggested,,are penetration tests conducted
2588,2194,0.0,0.00,,,,suggested,,are container images scanned
2589,2195,0.354,0.01-0.38,PR.IP-01,Change and Configuration Management,36,suggested,,are base images hardened
2590,2196,0.0,0.00,,,,suggested,,are containers run as non-root
2591,2197,0.418,0.39-0.59,CC6.1,Logical and Physical Access Controls,2,suggested,,are kubernetes rbac policies enforced
2592,2198,0.0,0.00,,,,suggested,,are namespaces segmented
2593,2199,0.605,0.60+,CC6.6,Encryption and Data Protection,50,suggested,,are secrets stored securely in k8s
2594,2200,0.399,0.39-0.59,PR.PS-04,Log Management,30,suggested,,are admission controllers used
2595,2201,0.437,0.39-0.59,CC6.1,Logical and Physical Access Controls,2,suggested,,are pod security policies enforced
2596,2202,0.354,0.01-0.38,CC7.2,System Monitoring,3,suggested,,are runtime protections enabled
2597,2203,0.373,0.01-0.38,CC7.2,System Monitoring,3,suggested,logging,are containers monitored for anomalies
2598,2204,0.0,0.00,,,,suggested,,are cluster configurations audited
2599,2205,0.0,0.00,,,,suggested,,are etcd databases secured
2600,2206,0.406,0.39-0.59,HITRUST-DEV-LOG-01,Logging and Monitoring (dev theme),39,suggested,logging,are cluster logs centralized
2601,2207,0.0,0.00,,,,suggested,,are nodes hardened
2602,2208,0.0,0.00,,,,suggested,,are unused services disabled
2603,2209,0.406,0.39-0.59,HITRUST-DEV-LOG-01,Logging and Monitoring (dev theme),39,suggested,logging,are logs centralized
2604,2210,0.406,0.39-0.59,HITRUST-DEV-LOG-01,Logging and Monitoring (dev theme),39,suggested,logging,are logs correlated across systems
2605,2211,0.639,0.60+,PR.PS-04,Log Management,30,suggested,logging,are siem tools used
2606,2212,0.497,0.39-0.59,CC7.2,System Monitoring,3,suggested,,are anomaly detections implemented
2607,2213,0.0,0.00,,,,suggested,,are alerts prioritized by severity
2608,2214,0.0,0.00,,,,suggested,,are alerts actionable
2609,2215,0.397,0.39-0.59,CC7.4,"Logging, Retention, and Incident Handling",53,suggested,,are playbooks automated
2610,2216,0.354,0.01-0.38,CC1.1,Integrity and Ethical Values,1,suggested,incident,are incidents tracked in a system
2632,2238,0.399,0.39-0.59,CC6.1,Logical and Physical Access Controls,2,suggested,,are dr drills performed
2633,2239,0.0,0.00,,,,suggested,,are rto/rpo defined
2634,2240,0.0,0.00,,,,suggested,,are dependencies mapped
2635,2241,0.354,0.01-0.38,CC6.1,Logical and Physical Access Controls,2,suggested,,are fallback systems documented
2636,2242,0.0,0.00,,,,suggested,,are outages simulated
2637,2243,0.506,0.39-0.59,RC.RP-01,Recovery Planning,34,suggested,logging;dr_backup,are recovery logs maintained
2638,2244,0.392,0.39-0.59,CC6.6,Encryption and Data Protection,50,suggested,,are ai services isolated from sensitive data
2639,2245,0.0,0.00,,,,suggested,,are llm outputs filtered
2640,2246,0.445,0.39-0.59,PR.IP-01,Change and Configuration Management,36,suggested,,are prompt injection attacks mitigated
2641,2247,0.0,0.00,,,,suggested,,are embeddings secured
2642,2248,0.418,0.39-0.59,CC6.1,Logical and Physical Access Controls,2,suggested,iam_access,are vector databases access-controlled
2643,2249,0.406,0.39-0.59,HITRUST-DEV-LOG-01,Logging and Monitoring (dev theme),39,suggested,logging,are ai logs monitored
2644,2250,0.399,0.39-0.59,PR.IP-01,Change and Configuration Management,36,suggested,,are ai hallucinations mitigated
2645,2251,0.441,0.39-0.59,PR.IP-01,Change and Configuration Management,36,suggested,,are models version-controlled
2646,2252,0.354,0.01-0.38,PR.DS-01,Data-at-Rest Protection,28,suggested,,are datasets protected
2647,2253,0.354,0.01-0.38,RC.RP-01,Recovery Planning,34,suggested,,are adversarial attacks tested
2368,2134,0.354,0.01-0.38,164.312-e1,Transmission Security,20,suggested,,are ddos protections enabled
2369,2135,0.399,0.39-0.59,PR.PS-04,Log Management,30,suggested,,are api gateways used
2370,2136,0.399,0.39-0.59,GV.RM-01,Risk Management Strategy,26,suggested,,are rate limits enforced
2371,2137,0.0,0.00,,,,suggested,,are waf rules configured
2372,2138,0.399,0.39-0.59,PR.PS-04,Log Management,30,suggested,,are ip allowlists used
2373,2139,0.701,0.60+,CC6.6,Encryption and Data Protection,50,suggested,,"are secrets stored in a secure vault (e.g., hashicorp vault)"
2374,2140,0.605,0.60+,CC6.6,Encryption and Data Protection,50,suggested,,are secrets ever stored in code
2375,2141,0.609,0.60+,CC6.6,Encryption and Data Protection,50,suggested,,are secrets rotated automatically
2376,2142,0.635,0.60+,PR.DS-01,Data-at-Rest Protection,28,suggested,encryption,are encryption keys managed via kms
2377,2143,0.373,0.01-0.38,CC6.6,Encryption and Data Protection,50,suggested,,are customer-managed keys supported
2378,2144,0.418,0.39-0.59,CC6.6,Encryption and Data Protection,50,suggested,,are keys rotated periodically
2379,2145,0.354,0.01-0.38,PR.PS-04,Log Management,30,suggested,,are hsm-backed keys used
2380,2146,0.528,0.39-0.59,CC6.6,Encryption and Data Protection,50,suggested,iam_access,are secrets access-controlled via iam
2381,2147,0.565,0.39-0.59,CC6.6,Encryption and Data Protection,50,suggested,logging;iam_access,are secrets logged when accessed
2382,2148,0.564,0.39-0.59,CC6.6,Encryption and Data Protection,50,suggested,,are expired secrets revoked automatically
2383,2149,0.49,0.39-0.59,PR.DS-01,Data-at-Rest Protection,28,suggested,encryption,is all data encrypted at rest
2384,2150,0.95,0.60+,CC6.7,Transmission and Network Protections,51,suggested,encryption,is all data encrypted in transit
2385,2151,0.474,0.39-0.59,PR.DS-01,Data-at-Rest Protection,28,suggested,,are storage buckets private by default
2386,2152,0.418,0.39-0.59,CC6.1,Logical and Physical Access Controls,2,suggested,,are object storage policies enforced
2387,2153,0.399,0.39-0.59,CC6.7,Transmission and Network Protections,51,suggested,encryption,are databases encrypted
2388,2154,0.399,0.39-0.59,CC6.7,Transmission and Network Protections,51,suggested,encryption,are snapshots encrypted
2389,2155,0.583,0.39-0.59,RC.RP-01,Recovery Planning,34,suggested,dr_backup,are backups immutable
2390,2156,0.499,0.39-0.59,PR.PS-04,Log Management,30,suggested,logging,are data retention policies enforced
2391,2157,0.354,0.01-0.38,CC6.1,Logical and Physical Access Controls,2,suggested,,is data classified automatically
2392,2158,0.373,0.01-0.38,PR.DS-01,Data-at-Rest Protection,28,suggested,,is sensitive data masked/tokenized
2393,2159,0.525,0.39-0.59,CC7.4,"Logging, Retention, and Incident Handling",53,suggested,logging;iam_access,are data access logs monitored
2394,2160,0.354,0.01-0.38,CC6.1,Logical and Physical Access Controls,2,suggested,,are cross-tenant data leaks prevented
2395,2161,0.373,0.01-0.38,CC3.1,Risk Assessment,49,suggested,,are data flows documented
2396,2162,0.354,0.01-0.38,CC6.1,Logical and Physical Access Controls,2,suggested,,is data residency controlled
2397,2163,0.0,0.00,,,,suggested,,are exports restricted
2398,2164,0.0,0.00,,,,suggested,,do you use ci/cd pipelines
2399,2165,0.354,0.01-0.38,CC1.1,Integrity and Ethical Values,1,suggested,,are pipelines secured with rbac
2400,2166,0.0,0.00,,,,suggested,,are builds isolated
2401,2167,0.399,0.39-0.59,164.308-a2,Assigned Security Responsibility,17,suggested,,are artifacts signed
2402,2168,0.0,0.00,,,,suggested,,are dependencies scanned for vulnerabilities
